,OR112,OR36,OR29,OR59,OR38,OR94,OR44,OR45,OR34,OR25,OR20,OR21,OR28,OR40,OR49,OR19,OR35,OR43,OR32,OR30,OR23,OR18,OR120,OR24,OR26,OR27,OR37,OR48,OR41,OR42,OR53,OR39,OR31,OR33,OR17,OR14,OR15,OR13,OR16,OR3,OR4,OR6,OR10,OR11,OR12,OR8,OR9,OR5,OR7,OR90,OR54,OR58,OR87,OR57,OR55,OR56,OR80,OR76,OR86,OR118,OR160,OR73,OR114,OR83,OR78,OR147,OR157,OR69,OR70,OR52,OR79,OR51,OR64,OR98,OR62,OR65,OR75,OR50,OR93,OR67,OR77,OR109,OR63,OR88,OR60,OR61,OR104,OR89,OR116,OR68,OR71,OR96,OR95,OR105,OR113,OR91,OR81,OR85,OR97,OR129,OR130,OR128,OR132,OR111,OR92,OR102,OR106,OR108,OR110,OR82,OR66,OR117,OR72,OR84,OR119,OR175,OR173,OR174,OR172,OR168,OR171,OR176,OR169,OR170,OR166,OR167,OR127,OR124,OR125,OR201,OR199,OR200,OR197,OR198,ORco,ORco2,OR179,OR180,OR165,OR159,OR192,OR193,OR194,OR178,OR190,OR164,OR163,OR191,OR145,OR177,OR162,OR146,OR195,OR158,OR137,OR136,OR133,OR134,OR135,OR138,OR139,OR141,OR142,OR144,OR140,OR143,OR74,OR123,OR186,OR182,OR188,OR183,OR184,OR187,OR181,OR185,OR189,OR101,OR99,OR100,OR103,OR115,OR161,OR196,OR155,OR156,OR148,OR150,OR151,OR153,OR152,OR154
OR158,0.0,26.545,26.739,24.232,27.313,30.702,26.687,26.687,24.512,25.813,29.614,27.316,25.813,24.729,19.091,26.201,24.39,28.716,25.597,26.464,25.163,25.87,28.125,25.813,25.813,25.813,25.813,14.912,21.076,18.876,15.741,18.834,17.905,19.731,20.0,20.682,20.909,21.445,19.118,18.962,18.962,20.542,20.542,17.833,17.833,20.09,17.312,19.865,19.865,8.871,13.152,13.152,16.588,16.438,16.438,17.58,17.58,15.022,15.281,16.78,14.45,15.646,15.873,15.87,15.517,6.502,0.0,15.873,16.1,16.404,31.746,15.056,15.955,4.128,13.483,13.483,12.333,16.173,13.575,15.506,10.667,4.587,15.73,6.897,12.846,14.607,26.846,23.516,26.256,29.841,28.475,26.484,27.689,27.689,37.915,28.637,27.356,27.586,25.057,32.53,32.932,27.946,28.571,27.88,28.046,29.855,29.873,26.351,24.297,27.563,27.689,33.14,28.182,27.727,23.669,22.633,27.586,28.866,24.943,25.172,23.341,28.667,27.816,27.5,26.667,25.517,31.663,33.483,32.96,27.907,35.168,35.168,32.018,32.237,29.307,29.307,28.966,30.575,29.075,41.983,32.967,32.68,44.915,30.155,28.251,31.9,37.339,31.9,35.093,33.626,41.15,33.333,45.912,,41.504,40.774,38.497,38.497,41.975,44.601,44.601,37.13,33.151,50.595,39.269,50.898,22.924,12.054,29.299,26.875,23.207,25.625,25.203,29.787,26.458,22.177,25.0,27.293,29.688,29.621,29.452,30.023,28.355,26.45,33.856,39.474,31.973,32.426,31.066,31.05,31.293,33.115
OR137,0.0,26.389,26.997,25.979,26.944,46.875,30.043,30.043,26.703,25.068,37.226,28.44,27.248,25.068,15.493,26.648,24.451,31.034,27.52,28.883,26.703,27.049,35.714,26.158,26.975,26.975,26.975,23.881,24.576,22.096,25.41,26.836,27.805,24.576,28.161,27.299,27.011,27.635,27.092,27.066,27.066,28.49,28.49,25.429,25.429,28.205,25.071,27.35,26.781,10.526,19.597,19.597,20.732,20.349,21.221,20.64,20.64,21.023,20.228,22.767,19.186,22.767,23.055,21.858,21.892,9.091,0.0,23.055,21.614,19.658,30.659,19.658,18.234,8.197,21.083,21.083,18.841,21.739,16.954,20.513,16.425,7.377,20.513,11.029,19.408,19.943,29.71,24.138,26.149,30.46,29.014,30.636,33.913,32.174,42.735,34.493,33.623,33.043,30.145,31.013,31.013,36.408,31.646,30.702,33.237,36.187,34.853,31.549,31.594,26.648,29.598,35.106,30.571,27.684,28.614,24.069,28.977,29.508,28.977,28.977,27.557,22.388,30.114,30.114,27.273,28.409,30.571,33.144,33.711,27.689,26.86,27.686,32.514,32.514,26.047,26.047,31.322,32.471,26.087,29.426,33.333,32.698,38.462,34.722,31.564,32.571,45.652,34.286,42.035,35.422,51.538,46.483,57.692,41.504,,80.059,71.386,69.322,76.889,74.783,74.783,46.471,40.0,63.636,61.471,65.517,26.28,14.847,24.051,23.951,20.313,22.963,22.542,26.8,22.963,20.0,0.0,32.768,30.663,31.492,31.492,28.571,28.647,25.364,35.776,44.595,33.427,32.584,31.742,30.595,29.213,34.862
OR136,0.0,28.993,30.769,27.208,27.66,37.634,30.612,30.612,29.302,27.674,35.859,30.0,28.837,26.977,18.66,28.806,26.464,32.197,29.535,30.0,28.605,28.904,33.333,28.605,29.07,29.07,29.07,16.58,21.446,18.841,17.127,22.41,20.455,21.446,23.472,22.983,22.738,23.301,20.323,22.816,22.816,23.301,23.301,20.195,20.195,22.573,20.146,22.573,21.845,7.583,15.441,15.441,17.995,17.778,18.765,18.272,18.272,17.191,16.019,18.873,15.802,18.137,18.382,18.284,18.1,7.748,0.0,19.118,18.627,16.99,33.171,16.505,16.748,6.077,17.718,17.718,15.038,18.227,13.447,16.262,12.03,4.972,16.505,7.692,15.427,16.748,28.986,29.167,31.373,33.007,32.212,35.381,36.7,35.222,46.591,37.717,35.802,35.802,33.827,40.465,40.93,38.113,36.406,34.663,35.556,38.854,37.637,34.783,31.579,29.34,31.373,38.816,31.463,30.751,28.012,26.225,31.707,32.782,29.612,30.34,29.126,32.308,31.707,31.325,29.512,30.976,35.135,36.165,36.893,30.255,32.441,33.11,36.471,36.0,28.221,28.221,36.453,36.7,30.607,31.197,34.597,34.272,51.02,36.603,33.254,32.763,44.67,35.208,46.643,36.795,54.787,49.223,63.504,40.774,80.059,,73.5,73.75,80.634,80.46,80.46,50.873,46.201,72.109,64.09,73.288,25.253,14.163,29.831,26.752,24.0,26.539,26.087,32.143,26.427,21.766,27.273,30.048,30.024,32.783,32.126,32.057,31.364,28.148,35.862,43.182,32.933,32.933,31.971,30.508,29.567,35.507
OR133,0.0,31.111,31.002,28.47,29.078,35.789,29.392,29.392,29.07,28.14,32.5,30.769,28.372,26.512,17.703,29.742,26.932,31.203,29.302,30.93,28.837,29.138,33.766,29.302,29.535,29.535,29.535,14.872,20.241,18.116,14.208,21.928,18.045,21.446,22.494,21.76,22.249,21.845,18.91,20.388,20.388,20.874,20.874,19.465,19.465,21.117,18.689,21.602,20.631,6.103,16.667,16.667,19.794,19.753,20.0,19.259,19.259,18.16,18.932,18.627,15.309,17.892,18.137,17.33,18.097,7.506,0.0,19.608,18.382,18.204,33.171,16.505,17.961,4.918,19.417,19.417,14.925,19.212,14.425,17.476,11.94,4.918,18.204,7.107,17.808,18.204,30.435,30.788,31.773,34.152,33.092,31.45,33.251,31.281,39.326,35.661,33.499,33.747,31.017,35.349,35.349,33.333,31.507,33.083,33.002,34.713,34.066,31.068,29.526,30.467,33.744,38.816,31.373,29.44,25.904,25.854,31.951,31.956,30.583,31.068,29.369,33.846,31.951,31.566,30.244,31.463,34.152,34.466,36.077,29.518,30.1,30.435,35.697,35.461,29.363,29.363,34.483,35.961,28.404,28.936,32.701,32.16,44.898,36.124,31.971,35.208,42.132,33.496,46.643,36.941,51.064,45.736,54.348,38.497,71.386,73.5,,84.712,88.772,89.143,89.143,48.13,46.201,63.265,58.647,64.384,25.256,18.777,32.203,27.214,23.982,27.43,26.947,32.143,26.782,23.142,15.385,34.375,34.752,36.557,36.165,32.933,32.11,27.475,33.793,41.667,34.3,34.783,32.367,33.577,32.367,36.232
OR134,0.0,29.383,30.374,30.961,28.91,35.106,29.153,29.153,28.438,28.438,31.658,30.334,28.205,26.34,17.506,29.108,26.056,30.566,29.138,29.138,28.671,28.037,30.263,28.671,29.837,29.837,29.837,15.464,20.773,18.644,14.286,23.671,19.623,22.464,24.02,23.284,23.529,22.628,18.971,21.411,21.411,22.384,22.384,20.976,20.976,22.141,19.951,21.655,21.655,8.019,18.182,18.182,19.072,19.802,20.05,18.812,18.812,18.932,20.925,20.147,16.089,19.41,19.656,18.31,18.837,8.252,0.0,20.885,20.147,17.762,33.252,17.275,18.735,4.396,19.221,19.221,14.981,18.765,14.951,18.491,13.109,4.396,18.005,7.653,18.132,18.491,31.884,29.31,30.788,33.907,32.609,32.512,34.321,32.099,40.113,37.406,35.236,35.484,32.754,33.953,33.953,32.707,30.734,33.083,34.243,35.987,34.341,31.311,29.805,32.187,33.251,36.184,33.333,30.17,24.398,24.939,31.463,32.507,28.641,29.126,27.67,30.769,30.244,29.88,28.537,29.268,34.644,33.981,37.046,29.376,33.779,34.114,35.697,35.934,27.926,27.926,35.468,36.946,31.455,29.424,36.019,35.446,47.959,39.713,35.577,37.408,46.193,36.186,47.35,37.647,52.128,46.512,55.072,38.497,69.322,73.75,84.712,,89.123,90.286,90.286,49.75,46.201,65.986,60.15,66.438,27.986,19.214,30.169,26.134,24.208,26.782,26.316,31.494,26.566,21.702,16.667,35.422,35.545,38.061,37.621,34.375,32.798,27.723,36.207,43.182,35.266,34.783,33.575,34.307,32.85,37.681
OR135,0.0,30.389,30.033,27.044,27.667,32.979,28.136,28.136,27.667,28.0,30.653,28.333,27.667,25.0,21.993,28.333,28.333,29.434,28.333,29.0,28.0,27.667,32.895,28.0,28.0,28.0,28.0,14.948,16.443,15.772,13.736,18.792,16.604,16.779,19.463,18.456,18.456,19.799,17.845,17.785,17.785,19.799,19.799,17.845,17.845,20.134,20.134,18.792,19.128,8.019,13.946,13.946,13.265,13.265,13.265,13.265,13.265,13.265,14.966,14.527,9.898,13.176,13.514,13.851,15.203,0.347,0.0,14.865,13.851,13.605,35.135,12.925,13.605,4.945,13.605,13.605,14.607,14.626,8.935,13.605,12.36,4.945,14.966,7.143,14.966,12.925,32.609,32.77,34.797,34.007,33.333,33.559,35.932,33.22,38.983,40.206,36.519,36.86,33.447,35.349,35.349,32.707,31.193,35.986,36.644,36.301,35.616,35.616,32.129,32.323,32.77,36.184,33.784,30.333,26.364,24.662,32.66,32.323,29.431,30.1,28.094,31.538,30.64,30.132,28.62,29.63,37.584,38.127,39.333,28.767,30.769,30.769,37.255,37.582,29.032,29.032,39.59,40.956,36.271,30.028,34.247,33.446,46.939,38.488,38.488,39.384,43.147,35.616,46.29,38.488,50.532,47.552,52.899,41.975,76.889,80.634,88.772,89.123,,100.0,100.0,52.797,45.289,63.265,63.86,64.384,25.904,14.851,31.525,28.743,24.92,29.641,29.641,31.818,29.641,24.702,16.667,33.115,34.936,38.019,37.417,34.641,34.091,28.803,35.172,42.424,35.294,35.621,34.967,34.653,33.66,35.87
OR138,0.0,35.366,34.783,35.0,29.834,32.979,30.939,30.939,31.492,28.729,29.834,29.282,28.729,28.729,32.044,32.044,32.044,32.044,30.387,31.492,31.492,30.387,32.895,32.597,31.492,31.492,31.492,13.408,12.291,11.732,12.849,14.525,12.849,13.408,15.642,15.084,14.525,15.084,15.642,13.408,13.408,15.642,15.642,10.112,10.112,13.966,13.966,14.525,14.525,4.52,4.52,4.52,3.39,3.39,3.39,3.39,3.39,3.39,3.955,4.52,4.52,4.52,4.52,4.52,4.52,0.0,0.0,5.65,5.085,4.52,39.106,3.955,4.52,3.39,3.39,3.39,3.955,3.955,3.955,3.955,3.955,3.955,4.52,4.52,4.52,3.955,34.0,37.853,42.938,39.326,38.202,39.106,41.341,39.106,38.983,45.143,42.373,43.503,37.853,37.5,37.5,35.196,32.402,42.775,41.477,40.341,42.045,40.341,38.346,38.418,37.853,36.184,38.983,35.359,29.245,31.667,35.393,35.393,28.889,30.0,26.667,31.538,32.584,31.694,29.775,29.213,42.935,41.622,44.624,29.412,30.942,30.942,44.382,44.382,28.685,28.685,48.0,48.0,45.506,29.339,41.477,41.477,46.939,44.571,44.571,46.591,42.614,42.614,48.837,45.714,49.711,46.857,52.899,44.601,74.783,80.46,89.143,90.286,100.0,,100.0,60.0,63.218,63.265,66.667,64.384,31.707,0.0,36.598,34.359,28.161,34.359,34.359,36.458,36.41,27.919,16.667,36.872,41.398,44.92,44.318,40.659,38.043,30.435,38.674,42.424,41.436,40.884,41.989,39.779,40.331,39.779
OR139,0.0,35.366,34.783,35.0,29.834,32.979,30.939,30.939,31.492,28.729,29.834,29.282,28.729,28.729,32.044,32.044,32.044,32.044,30.387,31.492,31.492,30.387,32.895,32.597,31.492,31.492,31.492,13.408,12.291,11.732,12.849,14.525,12.849,13.408,15.642,15.084,14.525,15.084,15.642,13.408,13.408,15.642,15.642,10.112,10.112,13.966,13.966,14.525,14.525,4.52,4.52,4.52,3.39,3.39,3.39,3.39,3.39,3.39,3.955,4.52,4.52,4.52,4.52,4.52,4.52,0.0,0.0,5.65,5.085,4.52,39.106,3.955,4.52,3.39,3.39,3.39,3.955,3.955,3.955,3.955,3.955,3.955,4.52,4.52,4.52,3.955,34.0,37.853,42.938,39.326,38.202,39.106,41.341,39.106,38.983,45.143,42.373,43.503,37.853,37.5,37.5,35.196,32.402,42.775,41.477,40.341,42.045,40.341,38.346,38.418,37.853,36.184,38.983,35.359,29.245,31.667,35.393,35.393,28.889,30.0,26.667,31.538,32.584,31.694,29.775,29.213,42.935,41.622,44.624,29.412,30.942,30.942,44.382,44.382,28.685,28.685,48.0,48.0,45.506,29.339,41.477,41.477,46.939,44.571,44.571,46.591,42.614,42.614,48.837,45.714,49.711,46.857,52.899,44.601,74.783,80.46,89.143,90.286,100.0,100.0,,60.0,63.218,63.265,66.667,64.384,31.707,0.0,36.598,34.359,28.161,34.359,34.359,36.458,36.41,27.919,16.667,36.872,41.398,44.92,44.318,40.659,38.043,30.435,38.674,42.424,41.436,40.884,41.989,39.779,40.331,39.779
OR141,0.0,28.325,27.209,23.404,24.764,36.842,29.966,29.966,28.538,28.538,34.0,28.389,27.61,25.986,18.9,27.336,25.935,31.086,27.842,27.146,28.074,27.442,35.065,27.61,27.378,27.378,27.378,15.385,19.712,20.241,16.94,20.192,18.352,19.712,20.732,21.463,20.976,21.065,19.489,19.128,19.128,19.128,19.128,16.748,16.748,19.37,18.689,20.097,21.065,8.92,16.137,16.137,15.641,16.256,14.778,15.271,15.271,15.7,14.286,15.159,12.808,14.67,14.914,13.318,13.889,6.28,0.0,16.137,15.403,15.012,32.36,15.738,14.286,3.825,13.075,13.075,10.409,16.216,12.195,14.77,10.409,3.825,14.286,5.584,12.842,11.622,26.619,29.73,29.238,30.637,30.361,33.088,33.661,32.432,44.944,33.333,33.168,32.178,29.208,42.326,41.86,34.328,35.616,32.5,31.683,34.603,33.425,31.235,29.167,31.373,32.432,40.789,27.628,30.825,26.126,23.844,30.244,31.68,24.515,24.757,22.816,32.308,26.341,26.024,26.829,25.366,36.275,38.015,38.406,27.655,32.0,32.0,34.597,32.938,28.337,28.337,31.204,34.152,29.508,30.638,32.938,32.629,51.02,33.971,30.602,31.296,46.193,33.007,44.366,37.089,55.851,44.33,60.87,37.13,46.471,50.873,48.13,49.75,52.797,60.0,60.0,,42.857,60.544,49.373,62.329,23.81,15.652,27.458,25.702,22.172,23.974,23.368,28.896,25.486,23.992,15.385,30.935,29.009,31.294,30.508,30.695,30.892,28.148,38.832,46.212,31.566,31.325,31.807,30.097,28.434,35.018
OR142,0.0,25.392,24.852,15.897,24.179,34.409,24.478,24.478,24.478,24.179,37.374,25.672,24.478,21.791,21.951,25.97,25.97,25.857,25.075,24.478,24.776,24.478,32.0,24.478,24.179,24.179,24.179,19.689,15.616,15.616,17.127,15.616,14.33,15.315,16.216,15.315,15.015,15.015,15.854,14.414,14.414,16.216,16.216,12.349,12.349,14.715,14.715,16.216,14.715,5.948,10.272,10.272,6.344,7.855,7.553,6.949,6.949,7.855,8.761,8.761,8.589,9.668,9.668,8.761,9.366,0.0,0.0,9.366,9.366,8.761,28.529,7.855,7.553,4.972,6.344,6.344,7.74,7.251,6.383,8.157,7.74,5.525,7.553,7.179,8.459,7.251,18.462,26.807,30.12,29.429,29.129,30.514,31.42,29.909,41.477,31.098,29.091,29.091,25.152,31.022,31.387,26.935,27.536,30.675,29.179,28.267,28.267,29.179,25.175,28.529,28.012,40.789,27.108,26.786,19.305,23.78,28.313,28.313,27.246,27.545,24.85,37.692,28.916,28.487,27.41,28.012,30.088,30.0,32.059,22.333,24.719,25.281,30.357,30.06,23.786,23.786,29.268,29.268,27.246,26.65,28.963,28.963,51.02,31.498,31.498,30.488,45.178,31.402,38.532,33.232,52.66,38.182,56.204,33.151,40.0,46.201,46.201,46.201,45.289,63.218,63.218,42.857,,68.027,46.505,67.808,15.92,15.385,23.077,23.611,20.354,21.944,21.944,24.09,22.222,20.776,27.273,26.409,27.035,29.855,28.955,27.859,27.697,21.637,29.412,46.212,30.0,30.588,30.588,29.412,29.118,29.429
OR144,0.0,39.552,37.908,30.0,34.667,35.484,38.0,38.0,36.667,34.0,34.667,34.667,35.333,35.333,36.667,36.667,36.667,36.667,36.0,36.667,36.667,36.0,33.333,36.667,37.333,37.333,37.333,12.162,12.838,12.838,14.189,13.514,11.486,10.811,13.514,14.865,14.865,13.514,14.865,11.486,11.486,14.865,14.865,8.844,8.844,13.514,13.514,13.514,13.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,42.857,44.898,47.297,45.27,43.919,41.216,40.541,40.541,45.517,42.177,44.218,36.735,42.466,43.151,37.838,37.838,41.096,43.151,42.466,37.671,37.671,33.981,37.415,38.095,38.776,38.776,36.301,26.667,39.865,41.497,41.497,35.57,37.584,32.886,36.154,41.497,40.132,42.177,41.497,45.517,51.701,53.741,37.162,41.781,43.151,42.857,42.177,41.781,41.781,45.205,46.575,41.781,44.516,49.66,49.66,51.02,46.575,46.575,44.218,43.537,42.857,52.414,49.315,62.329,56.463,64.234,50.595,63.636,72.109,63.265,65.986,63.265,63.265,63.265,60.544,68.027,,95.238,96.575,30.0,0.0,44.595,44.295,31.973,44.966,44.966,42.953,38.926,33.333,27.273,38.411,39.333,44.371,43.262,40.0,39.333,30.464,42.282,45.455,42.953,42.282,40.268,41.611,41.611,42.282
OR140,0.0,27.586,29.673,25.177,27.725,35.484,33.559,33.559,29.138,27.273,35.354,29.563,28.205,27.04,18.705,29.108,27.465,33.208,29.138,29.604,29.604,29.206,33.333,28.438,29.371,29.371,29.371,16.58,18.357,17.918,17.68,19.565,20.0,20.29,20.833,20.588,21.569,19.221,18.006,19.465,19.465,21.411,21.411,18.537,18.537,20.195,18.978,20.925,21.411,8.531,19.165,19.165,16.495,16.584,16.337,16.337,16.337,16.262,16.788,16.953,13.366,16.216,16.462,15.493,15.116,5.825,0.0,16.953,17.199,16.545,32.274,16.302,15.085,3.867,15.328,15.328,13.483,17.778,13.48,15.815,11.61,4.972,16.058,6.154,15.659,14.842,29.496,30.467,29.975,34.804,33.253,32.266,33.333,31.605,42.614,34.577,33.168,34.158,31.436,40.465,40.93,36.842,37.327,33.5,35.396,37.143,33.699,32.446,30.278,29.412,33.17,40.132,30.318,31.553,28.228,27.628,31.951,32.231,28.883,29.612,27.913,36.154,30.732,30.361,30.244,30.976,33.824,35.109,34.867,25.352,33.333,34.0,34.988,33.806,27.721,27.721,35.381,36.364,29.04,29.06,33.412,33.099,51.02,34.928,31.25,31.54,44.67,32.518,52.817,35.446,61.17,47.028,64.234,39.269,61.471,64.09,58.647,60.15,63.86,66.667,66.667,49.373,46.505,95.238,,97.26,21.429,16.522,31.864,26.566,22.851,26.782,26.316,32.468,25.27,21.322,27.273,31.807,32.227,33.333,32.688,30.216,28.833,26.98,37.801,45.455,33.012,32.048,30.12,33.495,32.048,37.184
OR143,0.0,40.602,38.158,33.333,35.57,35.484,38.255,38.255,36.913,34.899,35.57,35.57,35.57,35.57,36.913,36.913,36.913,36.913,36.242,37.584,36.913,36.242,33.333,36.913,38.255,38.255,38.255,12.245,12.925,12.925,14.286,13.605,11.565,10.884,13.605,14.966,14.966,13.605,14.286,11.565,11.565,14.966,14.966,8.904,8.904,13.605,13.605,13.605,13.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.789,43.151,45.205,48.98,46.939,44.898,42.857,42.177,42.177,46.528,43.151,45.205,37.671,42.069,42.759,38.095,37.415,41.379,44.828,44.138,38.621,38.621,35.294,39.041,37.671,40.411,39.041,36.552,29.73,40.816,42.466,42.466,37.162,39.189,33.784,36.154,42.466,41.06,43.836,43.151,47.222,53.425,53.425,36.054,42.759,44.138,44.521,43.836,42.759,42.759,46.897,48.276,43.448,45.455,50.0,50.0,51.02,46.897,46.897,45.205,43.836,43.151,51.389,50.345,64.138,58.219,64.234,50.898,65.517,73.288,64.384,66.438,64.384,64.384,64.384,62.329,67.808,96.575,97.26,,44.444,0.0,46.259,45.27,32.192,45.27,45.27,44.595,40.541,34.228,27.273,39.333,40.268,44.667,43.571,40.94,40.268,31.333,43.243,45.455,44.595,43.243,41.216,42.568,42.568,43.243
OR74,0.0,49.057,49.254,50.943,46.792,0.0,51.02,51.02,46.324,46.324,69.492,49.362,49.077,43.173,24.314,47.955,46.038,56.667,48.897,46.642,48.162,49.815,0.0,48.529,49.265,49.265,49.265,83.929,54.198,51.908,77.273,72.137,66.393,56.489,52.344,52.734,52.344,47.49,44.785,48.263,48.263,47.104,47.104,49.421,49.421,49.421,45.882,47.876,47.104,30.263,34.866,34.866,38.589,39.3,42.023,37.354,37.354,34.717,34.848,33.591,28.175,32.046,32.046,29.749,30.108,13.41,0.0,33.977,33.591,39.394,40.385,37.879,35.985,30.435,37.5,37.5,37.302,39.147,32.197,38.258,37.302,32.609,37.121,40.0,31.818,39.394,41.935,37.795,34.646,40.234,40.304,39.453,38.824,37.255,55.263,42.353,42.745,40.392,40.392,20.0,20.0,39.2,20.0,37.255,37.5,35.838,38.182,35.094,38.039,29.572,38.735,20.0,38.132,40.613,35.472,19.216,23.596,20.909,29.213,29.213,28.839,0.0,28.09,28.09,26.217,25.094,23.105,27.24,25.806,20.87,23.27,23.27,25.175,23.776,21.751,21.751,25.94,27.068,23.81,21.472,25.442,24.913,0.0,26.071,21.168,28.102,48.387,28.467,21.818,25.424,37.5,23.881,0.0,22.924,26.28,25.253,25.256,27.986,25.904,31.707,31.707,23.81,15.92,30.0,21.429,44.444,,39.267,19.205,20.462,19.512,20.462,19.683,21.118,21.122,21.452,0.0,39.676,37.45,37.849,37.849,43.265,41.313,30.603,36.567,0.0,31.837,31.02,30.612,31.837,30.612,35.0
OR123,0.0,45.5,47.291,50.0,47.5,0.0,51.22,51.22,49.275,45.411,0.0,51.765,49.275,49.275,7.292,51.456,46.04,49.091,48.792,51.961,49.275,50.242,0.0,51.208,48.309,48.309,48.309,0.0,35.533,37.968,0.0,34.01,29.825,36.041,37.173,33.508,32.984,35.567,24.49,37.113,37.113,37.113,37.113,38.144,38.144,38.144,31.053,39.175,36.598,18.182,27.041,27.041,30.114,28.646,28.125,29.688,29.688,27.0,29.648,26.804,21.39,28.351,28.351,20.091,21.918,13.706,0.0,27.835,26.289,29.146,27.692,29.648,26.633,0.0,31.658,31.658,29.508,33.679,24.121,30.151,31.148,0.0,31.156,0.0,29.032,27.638,28.814,28.042,23.81,28.272,29.293,24.479,21.99,23.56,0.0,29.843,25.654,26.702,26.702,6.25,6.25,13.115,6.25,21.99,23.958,21.101,21.795,22.388,23.037,22.396,27.128,0.0,26.425,29.167,20.896,13.089,19.307,16.026,18.812,18.812,18.812,0.0,19.307,19.307,18.812,17.822,18.627,18.269,19.712,18.341,29.167,29.167,18.468,17.117,19.535,19.535,16.418,17.413,18.009,20.874,18.721,18.222,0.0,21.296,11.429,18.66,0.0,22.01,16.832,16.957,0.0,13.3,0.0,12.054,14.847,14.163,18.777,19.214,14.851,0.0,0.0,15.652,15.385,0.0,16.522,0.0,39.267,,19.718,23.182,23.182,22.727,21.552,17.857,18.636,17.778,0.0,32.24,32.787,33.333,33.333,28.889,28.866,28.743,18.841,0.0,21.111,21.667,21.111,20.556,20.556,23.636
OR186,0.0,29.71,30.272,23.179,25.773,35.87,29.553,29.553,29.21,28.179,30.374,28.522,28.179,27.148,23.024,29.21,29.21,28.421,28.866,28.522,30.241,27.835,33.784,29.897,30.241,30.241,30.241,14.423,18.056,17.708,18.367,17.361,18.662,19.097,15.278,13.889,13.542,17.014,15.278,15.625,15.625,16.319,16.319,14.894,14.894,16.667,16.667,17.014,17.708,5.856,11.702,11.702,8.156,9.22,9.22,9.22,9.22,8.865,9.574,9.22,4.965,8.865,9.22,9.22,9.929,0.0,0.0,9.22,8.865,9.929,32.526,10.284,10.638,3.646,9.929,9.929,12.411,10.993,8.156,11.702,11.702,4.688,10.638,6.311,11.702,11.348,25.786,25.952,27.682,32.872,31.142,26.298,27.682,27.682,32.813,28.223,26.99,26.298,23.875,26.496,26.923,26.644,25.532,25.347,25.694,25.347,26.042,26.042,24.49,28.621,29.758,35.948,27.682,28.819,21.698,26.761,32.746,32.394,28.671,30.42,26.923,34.127,31.69,31.142,32.042,31.69,31.164,29.352,29.01,27.666,29.022,29.022,27.551,27.211,24.929,24.929,30.928,33.677,32.639,26.744,27.304,27.304,42.268,26.962,26.962,29.897,33.953,26.28,28.912,30.584,34.45,28.041,38.406,29.299,24.051,29.831,32.203,30.169,31.525,36.598,36.598,27.458,23.077,44.595,31.864,46.259,19.205,19.718,,81.754,58.947,82.456,82.456,76.14,74.035,69.825,30.0,29.553,31.034,32.302,31.915,32.759,33.793,30.556,37.282,46.512,32.404,33.798,35.54,35.192,34.495,35.192
OR182,0.0,26.79,25.771,22.801,23.661,34.783,29.721,29.721,26.593,25.275,32.093,26.555,27.093,25.771,17.471,25.991,25.169,28.671,25.934,27.051,26.813,25.275,33.784,26.813,26.813,26.813,26.813,15.789,19.231,19.222,20.812,19.457,19.649,21.493,18.349,16.743,16.055,16.401,15.476,15.945,15.945,17.084,17.084,15.172,15.172,16.856,14.651,17.084,17.54,6.222,15.632,15.632,14.699,15.545,14.617,13.689,13.689,14.806,13.927,14.12,11.111,14.352,14.583,12.826,13.043,5.856,0.0,15.972,14.583,15.753,30.068,14.84,15.297,4.615,15.753,15.753,12.281,16.667,13.699,15.982,13.333,5.641,15.525,7.177,15.762,16.21,27.044,24.485,25.629,28.375,27.703,26.941,28.375,27.002,35.233,28.046,27.002,26.545,24.943,27.66,27.66,27.586,25.424,24.541,25.172,25.937,24.06,23.094,22.137,27.626,27.982,38.312,27.563,27.918,19.78,23.112,26.773,26.41,24.829,25.968,23.69,34.109,25.858,25.566,26.316,27.002,25.397,25.561,25.112,25.29,30.189,30.189,25.942,25.942,24.056,24.056,29.613,30.524,25.727,27.016,25.658,25.325,43.299,25.166,23.007,28.153,34.722,26.906,26.126,26.226,34.762,27.273,41.007,26.875,23.951,26.752,27.214,26.134,28.743,34.359,34.359,25.702,23.611,44.295,26.566,45.27,20.462,23.182,81.754,,82.143,87.619,83.753,78.523,75.952,63.636,50.0,29.425,29.493,29.885,29.577,29.099,31.236,28.846,35.43,46.512,29.907,31.542,33.645,31.075,31.776,38.194
